,Hydropathy index,Molecular mass,Polarity_Acidic polar,Polarity_Basic polar,Polarity_Nonpolar,Polarity_Polar,Charge at pH 7.4_Negative,Charge at pH 7.4_Neutral,Charge at pH 7.4_Positive,Acid,Aliphatic,Amide,Aromatic,Basic,Basic aromatic,Cyclic,Hydroxylic,Sulfuric
0,1.8,89.094,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,-4.5,174.203,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,-3.5,132.119,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
3,-3.5,133.104,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4,2.5,121.154,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5,-3.5,146.146,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
6,-3.5,147.131,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,-0.4,75.067,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
8,-3.2,155.156,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,4.5,131.175,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
10,3.8,131.175,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
11,-3.9,146.189,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
12,1.9,149.208,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
13,2.8,165.192,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
14,-1.6,115.132,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
15,-0.8,105.093,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
16,-0.7,119.119,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
17,-0.9,204.228,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
18,-1.3,181.191,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
19,4.2,117.148,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
